<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100101,000000,7365.6400000,7371.1500000,7361.2300000,7371.1500000,22
20100103,000000,7385.5243720,7559.6904690,7377.8081530,7528.8255910,0
20100104,000000,7385.4800000,7559.6400000,7377.7600000,7526.5700000,15289
20100105,000000,7530.9800000,7560.7400000,7456.0200000,7550.8200000,13274
20100106,000000,7559.6400000,7764.6700000,7523.2700000,7690.8200000,17760
20100107,000000,7691.9200000,7813.1700000,7551.9300000,7575.0700000,19848
20100108,000000,7571.7700000,7601.5300000,7476.9687300,7544.2100000,21421
20100109,000000,7547.5200000,7568.4600000,7547.5200000,7561.8500000,64
20100110,000000,7561.8951040,7725.0380300,7524.4163230,7586.1460790,0
20100111,000000,7561.8500000,7724.9900000,7524.3700000,7594.9200000,16550
20100112,000000,7604.8400000,7633.5000000,7297.2900000,7307.2100000,24178
20100113,000000,7313.8300000,7557.4400000,7303.9100000,7540.9000000,22344
20100114,000000,7539.8000000,7592.7112800,7458.2300000,7512.2400000,20388
20100115,000000,7511.1400000,7553.0300000,7381.0677600,7425.1600000,16750
20100116,000000,7429.5700000,7438.3900000,7424.0600000,7424.0600000,16
20100118,000000,7427.3600000,7568.4600000,7403.1100000,7525.4700000,4914
20100119,000000,7522.1600000,7627.9900000,7463.7400000,7604.8400000,16895
20100120,000000,7603.7300000,7650.0300000,7360.1200000,7407.5200000,19389
20100121,000000,7400.9100000,7510.0400000,7234.4600000,7271.9400000,19843
20100122,000000,7274.1400000,7436.1800000,7202.4900000,7376.6600000,20984
20100123,000000,7379.9700000,7384.3700000,7363.4300000,7363.4300000,104
20100124,000000,7332.6131530,7501.2676650,7328.2038850,7464.8912010,0
20100125,000000,7332.5700000,7500.1200000,7328.1600000,7453.8200000,17005
20100126,000000,7447.2100000,7487.9900000,7288.4700000,7359.0200000,20452
20100127,000000,7361.2300000,7400.9100000,6997.4600000,7047.0700000,28702
20100128,000000,7044.8600000,7150.6800000,6815.5800000,6849.7500000,26865
20100129,000000,6843.1400000,6953.3700000,6689.9200000,6705.3500000,26005
20100130,000000,6702.0400000,6716.3700000,6694.3300000,6715.2700000,173
20100131,000000,6702.0877890,6855.3098610,6592.9583990,6855.3098610,0
20100201,000000,6702.0400000,6844.2400000,6592.9200000,6839.8300000,22471
20100202,000000,6842.0400000,6888.3400000,6730.7000000,6837.6300000,22347
20100203,000000,6837.6300000,6931.3300000,6512.4500000,6557.6400000,34772
20100204,000000,6558.7400000,6660.1600000,6301.9100000,6301.9100000,26961
20100205,000000,6307.4200000,6372.4500000,6197.1900000,6365.8400000,24309
20100206,000000,6365.8400000,6401.1100000,6360.3300000,6375.7600000,229
20100207,000000,6327.2999850,6462.8849840,6306.3559600,6360.3694970,0
20100208,000000,6327.2600000,6462.8400000,6306.3155100,6377.9700000,20741
20100209,000000,6376.8600000,6622.6800000,6341.5900000,6591.8100000,21792
20100210,000000,6591.8100000,6646.9300000,6460.6400000,6589.6100000,23709
20100211,000000,6587.4000000,6942.3500000,6569.7700000,6894.9500000,27502
20100212,000000,6894.9500000,6922.5100000,6688.8170800,6788.0200000,29604
20100213,000000,6789.1300000,6799.0500000,6783.6200000,6797.9500000,21
20100215,000000,6805.6600000,6869.6000000,6753.8500000,6840.9400000,5069
20100216,000000,6834.3200000,7112.1041200,6829.9100000,7098.8800000,29848
20100217,000000,7088.9600000,7204.7000000,7041.5600000,7140.7600000,24676
20100218,000000,7145.1700000,7332.5700000,7010.6900000,7320.4400000,25860
20100219,000000,7320.4400000,7415.2400000,7081.2400000,7367.8400000,26521
20100220,000000,7370.0400000,7383.2700000,7370.0400000,7370.0400000,135
20100221,000000,7379.9700000,7418.5500000,7281.8600000,7313.8300000,3201
20100222,000000,7313.8300000,7385.4800000,7205.8000000,7291.7800000,15455
20100223,000000,7290.6800000,7371.1500000,7037.1500000,7150.6800000,17371
20100224,000000,7151.7900000,7206.9000000,6990.8500000,7086.7500000,14438
20100225,000000,7087.8500000,7128.6400000,6945.6600000,7102.1800000,7641
20100226,000000,7105.4900000,7264.2200000,7032.7378000,7253.2000000,1765
20100228,000000,7458.2300000,7687.5100000,7407.5200000,7472.5600000,11373
20100301,000000,7472.5600000,7546.4100000,7292.8800000,7312.7200000,24389
20100302,000000,7310.5200000,7528.7800000,7253.2000000,7422.9600000,23637
20100303,000000,7421.8500000,7654.4400000,7415.2400000,7478.0700000,27881
20100304,000000,7476.9700000,7572.8700000,7383.2700000,7491.3000000,23059
20100305,000000,7489.0900000,7624.6800000,7435.0800000,7538.7000000,18320
20100307,000000,7535.3900000,7600.4300000,7495.7100000,7594.9200000,1920
20100308,000000,7596.0200000,7639.0100000,7464.8400000,7524.3700000,16518
20100309,000000,7524.3700000,7561.8500000,7396.5000000,7553.0300000,16958
20100310,000000,7555.2300000,7596.0200000,7385.4800000,7413.0300000,21878
