<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100101,000000,1094.4000000,1107.6000000,1093.1000000,1096.2000000,64594
20100104,000000,1099.0000000,1124.6000000,1093.8000000,1120.9000000,107298
20100105,000000,1120.9000000,1129.6000000,1115.5000000,1119.8000000,104981
20100106,000000,1119.7000000,1140.9000000,1116.8000000,1138.4000000,113555
20100107,000000,1138.5000000,1139.5000000,1128.7000000,1131.5000000,89323
20100108,000000,1131.1000000,1140.0000000,1119.5000000,1136.5000000,133847
20100109,000000,1136.6000000,1138.9000000,1136.6000000,1138.9000000,778
20100111,000000,1139.0000000,1163.0000000,1139.0000000,1152.6000000,109416
20100112,000000,1151.8000000,1158.3000000,1124.8000000,1127.4000000,139622
20100113,000000,1127.8000000,1138.6000000,1118.5000000,1138.3000000,127929
20100114,000000,1138.1000000,1146.7000000,1130.7000000,1143.8000000,104512
20100115,000000,1143.3000000,1146.0000000,1126.6000000,1131.3000000,86246
20100116,000000,1131.2000000,1131.7000000,1130.5000000,1130.5000000,311
20100118,000000,1130.7000000,1137.7000000,1127.5000000,1133.4000000,25774
20100119,000000,1133.8000000,1149.0000000,1128.8000000,1138.7000000,89083
20100120,000000,1138.4000000,1141.7000000,1106.8000000,1111.7000000,117209
20100121,000000,1111.7000000,1117.4000000,1088.0000000,1095.4000000,114534
20100122,000000,1095.5000000,1103.2000000,1081.9000000,1093.6000000,104662
20100123,000000,1093.3000000,1094.6000000,1089.7000000,1089.7000000,1589
20100125,000000,1092.5000000,1105.0000000,1092.5000000,1098.6000000,9379
20100126,000000,1098.1000000,1104.2000000,1086.5000000,1098.3000000,27286
20100127,000000,1098.3000000,1103.3000000,1084.1000000,1088.1000000,35929
20100128,000000,1087.9000000,1096.9000000,1074.4000000,1087.4000000,100559
20100129,000000,1087.4000000,1091.4000000,1075.0000000,1082.9000000,105010
20100130,000000,1082.3000000,1083.8000000,1081.2000000,1083.8000000,626
20100201,000000,1081.8000000,1107.9000000,1077.2000000,1106.7000000,102991
20100202,000000,1106.7000000,1119.9000000,1099.5000000,1114.7000000,106863
20100203,000000,1114.8000000,1126.4000000,1107.5000000,1110.0000000,106556
20100204,000000,1110.0000000,1112.0000000,1060.0000000,1066.3000000,135191
20100205,000000,1066.0000000,1071.0000000,1044.8000000,1068.1000000,128686
20100206,000000,1068.2000000,1068.5000000,1052.8000000,1052.8000000,1066
20100208,000000,1068.4000000,1074.3000000,1061.8000000,1062.8000000,87839
20100209,000000,1062.7000000,1083.8000000,1062.1000000,1076.9000000,94160
20100210,000000,1076.7000000,1083.0000000,1063.4000000,1073.5000000,97896
20100211,000000,1073.1000000,1098.4000000,1071.9000000,1094.3000000,103737
20100212,000000,1094.2000000,1097.7000000,1078.2000000,1092.9000000,92188
20100213,000000,1092.9000000,1094.1000000,1090.0000000,1090.0000000,618
20100215,000000,1093.8000000,1103.0000000,1092.0000000,1101.2000000,28813
20100216,000000,1101.8000000,1121.9000000,1098.6000000,1119.1000000,105674
20100217,000000,1119.1000000,1128.7000000,1111.9000000,1115.3000000,107460
20100218,000000,1115.4000000,1124.6000000,1098.1000000,1123.1000000,121607
20100219,000000,1123.0000000,1127.4000000,1099.3000000,1117.7000000,128541
20100220,000000,1117.9000000,1122.1000000,1117.4000000,1122.1000000,833
20100221,000000,1122.2000000,1131.5000000,1121.9000000,1124.8000000,15408
20100222,000000,1124.7000000,1128.7000000,1110.1000000,1117.5000000,84414
20100223,000000,1117.3000000,1121.7000000,1099.7000000,1106.8000000,103208
20100224,000000,1106.9000000,1107.5000000,1088.5000000,1091.0000000,119659
20100225,000000,1091.0000000,1110.5000000,1088.8000000,1109.7000000,119355
20100226,000000,1109.7000000,1119.5000000,1107.1000000,1118.9000000,77478
20100228,000000,1119.3000000,1120.7000000,1115.5000000,1118.6000000,12134
20100301,000000,1118.6000000,1123.9000000,1112.1000000,1116.9000000,80015
20100302,000000,1116.8000000,1138.2000000,1115.0000000,1134.6000000,115181
20100303,000000,1134.6000000,1145.8000000,1133.3000000,1137.0000000,98605
20100304,000000,1136.9000000,1142.3000000,1125.9000000,1135.6000000,88442
20100305,000000,1135.6000000,1141.2000000,1127.6000000,1135.2000000,75253
20100307,000000,1136.1000000,1137.9000000,1132.6000000,1135.4000000,10758
20100308,000000,1135.4000000,1138.0000000,1118.8000000,1121.9000000,82287
20100309,000000,1121.9000000,1126.9000000,1108.2000000,1126.3000000,98707
20100310,000000,1126.3000000,1128.3000000,1103.2000000,1108.7000000,107326
20100311,000000,1108.7000000,1113.8000000,1100.5000000,1112.3000000,84786
20100312,000000,1112.2000000,1119.5000000,1097.3000000,1101.7000000,101128
20100314,000000,1101.4000000,1105.3000000,1101.0000000,1104.7000000,7512
20100315,000000,1104.6000000,1113.9000000,1101.1000000,1112.8000000,63477
20100316,000000,1112.9000000,1129.3000000,1110.3000000,1127.9000000,90013
20100317,000000,1127.9000000,1133.9000000,1118.2000000,1123.1000000,79629
20100318,000000,1123.1000000,1129.5000000,1118.4000000,1123.6000000,70037
